Skin,Skin_color,name,score,Hair,Hair_color,name,score,Facegear_front,Facegear_front_color,name,score,Headgear,Headgear_color,name,score,Ears,Ears_color,name,score,Facegear_back,Facegear_back_color,name,score,Eyebrow,Eyebrow_color,name,score,Mouth,Mouth_color,name,score,Face,Face_color,name,score,Bodygear,Bodygear_color,name,score,Background,Background_color,name,score
0,,ffdfcf,0.0,29,5,,-135789.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,3,1,,-67178.96,7,,,107851.6,13,,,88033.56,5, , ,86281.28,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,8,10,,-140725.36,1,3,,-891811.8,0,1,,33688.2,7,9,,-353294.2,0,,,45904.8,3,,,96498.8,2,,,91069.2,1, , ,86281.28,0,1,,29616.0,10,,c4c2ac,97732.8
0,,ffdfcf,0.0,9,13,,-120981.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,4,,,102175.2,2,,,91069.2,4, , ,86281.28,3,2,,-615272.4,10,,c4c2ac,97732.8
0,,ffdfcf,0.0,29,20,,-153065.36,0,1,,23939.6,0,1,,33688.2,2,9,,-679785.92,0,,,45904.8,3,,,96498.8,8,,,96128.6,14, , ,91908.32,0,1,,29616.0,1,,accba2,103162.4
0,,ffdfcf,0.0,30,3,,-153065.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,5,2,,-185988.48,4,,,102175.2,4,,,96128.6,0, , ,81592.08,0,1,,29616.0,4,,ed96b9,103162.4
0,,ffdfcf,0.0,18,6,,-153065.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,1,,,73793.2,6,,,93092.96,3, , ,84405.6,0,1,,29616.0,12,,616370,92303.2
0,,ffdfcf,0.0,18,15,,-138257.36,0,1,,23939.6,2,2,,-691385.52,10,1,,-83220.96,4,3,,-729664.2,4,,,102175.2,6,,,93092.96,3, , ,84405.6,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,28,16,,-153065.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,2,1,,109023.9,1,,,73793.2,14,,,96128.6,6, , ,86281.28,0,1,,29616.0,3,,92d1f2,99904.64
0,,ffdfcf,0.0,23,5,,-135789.36,0,1,,23939.6,0,1,,33688.2,1,7,,-343422.2,4,2,,-729664.2,3,,,96498.8,18,,,99164.24,5, , ,86281.28,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,12,5,,-128385.36,0,1,,23939.6,0,1,,33688.2,1,8,,-343422.2,6,1,,111319.14,1,,,73793.2,7,,,96128.6,21, , ,91908.32,0,1,,29616.0,7,,a3accb,97732.8
0,,ffdfcf,0.0,3,13,,-120981.36,1,5,,-947341.8,0,1,,33688.2,10,1,,-83220.96,0,,,45904.8,4,,,102175.2,5,,,90057.32,4, , ,86281.28,0,1,,29616.0,2,,a4c5cc,100990.56
0,,ffdfcf,0.0,22,3,,-153065.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,1,,,73793.2,13,,,88033.56,4, , ,86281.28,0,1,,29616.0,8,,ccb0a3,97732.8
0,,ffdfcf,0.0,4,15,,-138257.36,0,1,,23939.6,3,2,,-449743.64,0,,,63674.4,0,,,45904.8,2,,,90822.4,15,,,96128.6,6, , ,86281.28,0,1,,29616.0,8,,ccb0a3,97732.8
0,,ffdfcf,0.0,26,10,,-140725.36,0,1,,23939.6,4,5,,-337560.7,4,1,,-343422.2,0,,,45904.8,2,,,90822.4,9,,,96128.6,5, , ,86281.28,0,1,,29616.0,12,,616370,92303.2
0,,ffdfcf,0.0,12,9,,-158001.36,0,1,,23939.6,5,4,,-225377.76,8,3,,-343422.2,0,,,45904.8,6,,,102175.2,13,,,88033.56,2, , ,86281.28,1,1,,-504212.4,12,,616370,92303.2
0,,ffdfcf,0.0,20,13,,-140725.36,0,1,,23939.6,3,4,,-357193.64,0,,,63674.4,0,,,45904.8,4,,,102175.2,12,,,96128.6,6, , ,86281.28,0,1,,29616.0,6,,edd096,106420.16
0,,ffdfcf,0.0,23,13,,-140725.36,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,2,,,90822.4,2,,,91069.2,2, , ,86281.28,0,1,,29616.0,12,,616370,92303.2
0,,ffdfcf,0.0,16,11,,-153065.36,0,1,,23939.6,5,2,,-114317.76,0,,,63674.4,0,,,45904.8,1,,,73793.2,2,,,91069.2,13, , ,91908.32,0,1,,29616.0,12,,616370,92303.2
0,,ffdfcf,0.0,5,5,,-339843.6,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,1,,,73793.2,5,,,90057.32,1, , ,86281.28,0,1,,29616.0,12,,616370,92303.2
