Hand,Neck
7,40
25,10
0,38
0,35
21,4
19,13
26,20
14,10
21,15
26,45
17,2
11,40
19,43
10,37
26,47
8,3
0,27
14,32
0,19
26,25
19,0
13,8
19,2
10,47
17,18
23,0
23,18
0,12
0,9
26,5
13,33
18,30
0,19
0,22
0,0
22,30
26,11
2,19
14,27
1,35
25,13
26,47
21,37
4,47
17,8
7,7
0,28
10,23
3,30
13,0
8,0
20,31
10,24
23,11
9,43
14,27
2,40
11,1
19,40
0,40
21,47
13,0
26,0
17,44
8,37
24,27
21,23
26,16
1,33
0,28
21,6
6,0
0,5
10,31
14,14
16,6
3,24
5,8
0,3
0,2
1,35
2,10
20,37
0,37
17,9
23,31
23,43
5,42
17,39
26,30
0,28
14,36
0,27
0,9
25,18
0,11
26,36
2,33
4,15
13,44
5,35
14,15
8,26
11,11
0,16
17,30
15,7
17,25
25,16
20,11
7,26
14,0
0,31
7,20
12,19
26,0
8,0
6,46
23,28
13,5
4,28
5,38
1,21
21,7
14,36
14,33
13,18
26,7
4,28
1,7
20,19
25,0
0,20
21,4
4,10
12,25
15,19
11,35
14,11
0,19
17,43
15,22
5,11
0,47
7,2
5,4
8,4
11,2
26,35
4,13
26,0
20,20
17,21
0,21
19,35
26,28
0,15
0,2
4,2
0,24
23,0
10,18
11,33
13,10
0,30
11,21
25,4
0,30
0,27
15,33
12,23
2,5
15,40
0,40
0,45
11,2
0,2
11,18
7,31
7,15
2,5
23,45
3,0
15,45
26,0
14,41
0,0
0,14
26,11
13,24
0,2
0,47
14,19
26,21
14,47
10,8
17,44
21,26
10,4
8,47
0,36
11,45
26,19
17,45
0,0
8,19
11,23
0,16
0,6
2,0
5,0
10,6
17,0
0,0
2,27
10,30
0,39
8,42
7,0
19,23
0,13
11,11
18,0
6,1
22,0
17,9
20,0
6,11
0,34
0,7
16,36
0,12
0,1
26,40
0,40
0,34
2,41
0,6
23,34
7,31
26,20
1,1
15,20
2,13
1,3
10,16
15,28
2,32
6,24
17,34
4,15
19,39
17,44
7,11
14,41
14,45
10,43
22,12
25,18
8,14
2,29
4,1
21,0
1,1
3,33
12,0
0,39
4,28
0,0
20,14
21,13
21,24
20,28
24,33
17,9
0,28
13,10
15,31
8,44
11,1
11,35
12,42
3,8
1,11
8,13
1,0
16,34
2,9
5,14
18,40
15,23
0,35
7,38
19,34
21,37
26,36
15,13
5,27
4,5
10,45
7,44
0,28
10,14
0,3
0,24
11,0
10,7
0,23
5,7
7,8
25,5
10,14
13,22
22,0
7,29
0,38
10,1
0,0
10,4
0,31
21,47
0,25
4,45
0,11
18,31
3,45
20,43
8,23
6,0
25,34
11,4
0,16
14,47
0,11
4,8
21,10
1,32
11,0
0,0
5,42
26,2
4,34
19,2
0,14
23,35
20,4
15,24
20,25
8,10
26,19
6,8
1,44
17,41
15,14
26,16
9,27
5,42
8,4
10,11
17,0
19,23
0,1
19,41
26,4
16,19
25,1
0,25
25,30
5,0
19,0
11,6
8,0
21,47
13,23
10,3
7,44
8,34
26,0
7,0
0,0
25,11
0,47
12,25
5,18
20,37
0,35
3,27
0,10
16,13
26,7
0,14
25,31
4,8
18,3
21,12
5,1
21,14
0,19
9,47
4,7
14,14
7,34
0,7
16,3
25,31
7,26
15,3
1,7
0,16
0,11
11,7
6,46
0,25
1,11
2,36
2,16
26,35
25,15
0,14
0,12
18,6
19,47
17,26
1,43
5,0
21,22
13,14
21,27
19,4
25,8
0,0
24,39
0,27
15,21
21,45
0,11
1,21
14,21
26,29
0,0
15,9
14,0
18,11
18,9
0,0
23,29
22,40
15,19
10,42
7,0
17,18
14,40
11,38
4,13
20,43
0,18
0,37
0,16
23,24
0,21
13,24
13,3
13,24
0,30
19,26
0,7
26,8
6,19
25,18
20,34
8,21
15,36
7,34
10,4
20,31
5,1
15,38
0,14
3,11
25,22
0,14
5,47
20,0
16,9
0,41
19,7
0,2
14,40
19,23
0,28
8,34
7,33
25,0
4,23
11,36
0,35
0,0
25,20
13,2
10,0
26,14
0,11
5,43
25,0
22,19
5,30
23,5
0,16
0,4
25,45
0,9
11,8
25,4
6,0
0,9
17,34
26,13
19,18
0,44
7,43
8,45
10,43
7,41
0,45
23,19
17,0
8,4
5,19
26,0
23,7
16,35
0,44
0,11
17,11
0,9
7,24
0,32
11,14
13,7
0,42
10,13
21,40
0,34
4,34
20,18
11,3
20,16
16,43
15,3
0,31
16,15
6,5
20,35
20,31
19,36
17,13
6,44
18,32
20,6
17,0
1,36
0,9
20,15
26,11
17,19
0,9
4,18
15,28
2,23
20,9
8,44
11,38
25,43
15,47
2,45
0,25
17,0
4,43
18,43
4,6
13,31
9,2
11,11
7,34
8,6
16,18
8,14
20,16
0,19
21,25
25,40
0,21
26,14
7,3
17,28
11,12
3,16
19,29
14,15
10,28
11,28
4,30
0,41
0,18
0,10
26,5
5,0
26,3
8,39
25,39
19,11
1,8
6,30
15,14
4,32
1,0
0,33
14,14
8,0
10,11
17,7
26,0
9,23
13,35
10,18
0,11
17,27
15,8
0,6
19,34
0,0
0,40
1,13
0,16
1,9
26,35
1,34
13,26
20,36
0,32
26,46
14,41
17,25
15,5
0,29
6,32
25,9
26,26
25,0
9,21
20,4
25,43
16,10
21,2
20,3
26,32
11,40
17,8
10,37
26,41
5,23
8,0
2,6
5,8
26,17
9,4
5,14
5,3
4,13
14,13
14,0
8,15
6,10
5,20
3,5
0,4
10,16
21,41
20,15
0,24
11,22
22,32
8,43
21,13
14,29
8,0
26,19
0,0
9,39
8,47
16,28
1,15
14,45
0,36
19,19
0,2
21,39
15,23
5,7
5,25
8,16
13,14
18,28
11,25
20,35
26,2
21,4
10,23
0,4
24,34
24,12
4,40
1,28
3,33
21,0
1,11
0,0
8,0
4,33
24,16
1,46
7,12
3,3
20,7
7,0
1,0
13,2
0,47
5,36
19,24
0,40
1,45
7,0
17,35
5,11
25,37
26,0
19,1
2,25
5,34
11,27
26,11
14,14
26,14
10,11
20,43
0,27
7,13
5,11
0,0
8,14
5,1
2,11
7,17
20,29
17,11
17,11
7,33
15,31
3,45
0,33
23,3
25,32
20,24
17,28
14,43
20,3
8,40
0,24
15,4
2,39
16,36
25,21
16,17
7,36
26,11
0,22
22,47
0,16
26,7
13,11
1,11
1,0
4,0
14,0
0,41
26,45
3,36
19,1
7,21
4,11
19,24
22,0
19,0
26,6
0,27
0,10
10,31
25,13
24,33
23,34
14,24
8,45
0,7
12,2
13,17
10,25
15,28
26,18
7,30
15,10
2,15
0,45
8,0
0,13
15,47
1,24
8,24
20,40
25,43
19,0
0,36
5,23
13,19
20,13
0,21
2,44
0,19
25,22
26,11
0,13
5,20
14,9
0,39
21,33
0,0
7,0
21,27
0,25
6,43
17,13
19,18
23,6
0,12
23,34
0,14
14,11
26,27
20,39
25,21
20,4
10,4
24,18
8,7
0,43
12,9
0,33
0,0
16,2
5,31
0,27
0,0
10,0
16,0
2,6
9,18
23,16
13,0
25,34
0,12
21,0
11,5
8,35
0,0
11,33
11,1
17,0
8,11
10,1
14,0
0,29
23,47
11,23
0,16
13,2
0,12
19,4
19,15
1,0
8,13
10,39
10,1
0,29
21,23
15,9
23,10
21,20
8,11
0,26
10,24
0,7
26,26
0,2
13,0
0,14
0,2
0,29
1,19
0,0
20,15
0,24
8,30
0,38
20,33
8,43
25,44
1,44
0,40
17,26
8,1
20,0
13,14
0,39
0,6
1,22
8,44
8,4
21,28
20,36
18,8
0,33
22,20
26,3
17,0
5,14
0,23
5,2
0,7
0,3
0,40
8,37
0,28
25,28
15,15
3,5
0,19
20,11
6,14
13,35
2,0
22,25
14,37
15,35
9,12
8,0
16,1
1,11
26,30
17,43
6,34
17,24
0,4
11,12
11,40
7,47
15,9
26,22
2,44
10,39
8,41
13,30
4,18
15,37
6,24
13,34
6,28
16,2
25,8
17,0
14,25
21,28
10,13
11,11
6,29
19,14
5,44
7,4
0,35
26,32
10,18
1,11
6,25
26,39
8,13
0,30
1,0
13,0
3,9
0,46
1,44
1,19
6,5
20,11
10,34
26,14
11,33
7,27
13,37
17,34
26,35
0,34
21,7
10,36
0,21
18,43
6,37
10,47
8,17
0,6
3,26
26,0
0,40
15,36
0,43
0,35
26,30
17,37
1,0
7,23
5,35
0,7
0,46
0,4
13,34
10,0
0,45
15,46
13,43
14,0
23,11
12,15
23,47
14,19
20,37
6,21
13,46
11,37
0,43
26,11
15,9
0,0
0,36
14,21
11,47
2,25
7,30
0,45
0,0
2,18
0,40
22,12
8,23
5,23
0,8
14,39
8,34
6,11
25,7
2,27
26,39
4,28
14,37
6,25
20,18
19,44
0,47
19,24
24,3
4,9
16,5
26,32
2,2
18,0
2,11
0,45
0,42
14,11
17,17
1,35
9,0
17,0
0,39
0,3
5,12
0,11
1,38
2,3
20,15
21,43
8,24
0,13
26,31
19,14
3,22
13,28
0,36
20,0
14,17
20,11
2,10
0,27
26,39
8,33
8,5
0,27
25,47
14,47
13,0
0,36
11,41
2,10
21,42
10,8
20,29
12,0
20,32
5,36
8,25
20,3
20,37
5,25
8,44
5,35
8,13
8,33
20,15
0,46
12,20
5,32
26,11
14,0
11,2
12,20
26,46
0,28
14,1
16,0
3,14
11,29
16,27
1,8
4,26
8,23
13,36
0,44
14,0
14,11
26,33
0,42
14,6
2,11
5,47
20,4
23,22
9,11
15,29
26,12
15,0
17,27
23,6
26,8
10,16
1,24
0,13
11,0
10,40
19,5
25,7
3,31
0,11
25,45
17,30
20,11
0,38
0,1
7,4
11,0
0,7
15,23
0,25
5,10
0,33
7,8
23,8
14,18
0,19
5,5
24,3
16,12
26,45
13,15
5,42
0,0
2,0
0,11
7,4
7,1
22,11
0,44
6,21
25,40
14,34
6,23
7,37
9,33
0,1
3,0
26,24
12,2
0,21
25,40
9,6
19,1
1,12
22,41
7,21
1,14
26,23
13,1
20,35
17,0
0,27
4,16
21,7
2,14
5,18
8,23
14,19
8,36
1,39
11,27
0,24
13,25
0,41
1,28
19,30
0,40
8,16
4,34
21,10
17,25
26,11
17,2
25,33
15,0
10,26
7,6
11,12
24,18
5,1
0,25
26,23
21,5
2,43
16,14
11,31
24,23
11,31
15,44
26,43
17,15
14,0
20,2
0,0
10,9
7,11
10,25
10,40
6,15
26,25
8,33
11,31
0,19
1,4
0,0
7,33
2,11
6,25
25,37
8,23
0,19
26,2
0,7
0,23
21,47
26,18
17,33
13,6
0,3
10,11
13,27
22,37
0,34
0,41
11,8
13,8
17,7
26,36
11,14
23,14
8,25
19,15
0,8
8,42
1,39
17,32
25,13
8,45
12,27
7,32
7,17
0,11
15,18
0,36
25,12
11,41
20,5
14,15
5,0
10,25
14,0
21,11
18,11
24,0
13,24
10,11
20,11
25,41
2,13
19,7
1,17
0,39
20,43
0,36
8,0
6,23
4,16
0,14
6,40
0,47
26,8
25,32
2,34
20,38
25,35
0,18
19,40
22,0
0,19
26,12
0,35
6,31
4,6
1,0
0,7
22,16
17,20
0,0
2,40
23,4
3,33
14,41
7,43
10,35
20,18
0,31
26,19
0,12
2,11
0,0
23,27
4,0
0,0
19,15
0,40
0,42
1,18
14,44
15,39
20,16
21,37
0,28
3,33
13,17
14,30
0,36
11,9
25,27
18,32
10,28
6,46
0,5
0,44
22,15
18,41
5,21
2,2
7,0
5,27
23,31
26,37
5,10
5,43
6,37
1,3
0,33
20,42
14,8
0,10
4,14
0,34
8,26
0,0
25,27
20,5
26,31
13,39
1,44
25,1
5,37
4,38
26,37
15,30
10,4
26,36
20,19
14,42
6,28
13,33
0,21
15,27
8,7
20,1
15,40
0,16
0,8
8,16
17,26
0,3
6,0
26,14
23,44
26,0
14,0
0,0
0,11
4,7
0,30
0,5
13,36
16,34
17,38
4,46
17,24
0,12
25,32
10,40
14,35
26,19
3,27
9,40
0,31
17,33
0,6
20,9
4,17
0,13
4,31
4,30
4,26
10,8
0,21
14,0
0,0
0,34
7,43
0,35
5,16
4,4
15,11
1,5
11,23
0,27
7,27
26,28
8,20
10,4
20,11
14,8
13,9
25,42
7,39
8,33
14,0
16,19
13,25
11,16
13,38
8,7
0,34
21,44
19,0
25,9
11,1
25,10
26,30
8,0
0,0
13,6
5,14
7,44
26,1
6,1
1,30
8,0
14,38
0,10
0,28
0,35
10,10
19,30
17,37
9,8
26,20
25,43
13,0
16,23
2,44
20,9
5,14
4,39
15,26
2,47
14,0
10,25
19,29
7,2
14,7
0,2
26,4
0,17
19,7
20,11
9,0
7,17
13,29
4,13
3,47
22,41
11,38
20,19
15,0
12,36
15,24
3,7
0,3
0,15
8,36
19,39
4,17
13,16
20,30
10,0
21,0
0,8
8,36
0,39
6,28
2,19
17,10
0,32
4,4
9,26
1,41
11,31
21,8
26,33
10,43
26,11
0,47
0,28
7,38
0,2
20,13
24,31
22,33
8,41
3,16
13,17
10,0
0,28
20,1
20,15
21,47
3,4
0,30
20,15
11,7
15,18
5,47
16,29
20,0
4,15
16,33
15,38
15,43
7,38
14,0
0,0
4,0
0,12
4,11
17,34
13,19
0,24
19,21
0,43
7,3
19,12
20,11
12,0
14,18
20,1
4,21
0,11
21,3
0,11
11,3
7,45
14,0
0,0
17,41
17,30
19,36
1,33
0,45
19,39
0,16
0,0
7,3
18,0
15,12
21,0
25,37
8,46
0,24
0,47
2,25
0,34
0,4
0,30
13,39
15,10
1,10
0,45
2,10
13,6
25,5
16,0
10,0
17,24
25,4
15,12
10,13
12,47
0,5
1,9
11,35
26,4
5,20
26,0
18,11
13,5
4,42
8,7
8,47
0,4
20,47
0,11
25,11
9,11
20,14
24,9
0,35
0,39
11,41
0,35
0,4
25,26
22,11
7,0
5,21
0,8
7,3
0,28
25,34
13,23
0,17
17,19
15,15
10,2
26,32
17,32
0,1
0,0
25,19
17,11
5,16
18,44
3,3
5,29
23,17
2,18
11,39
17,39
5,39
26,0
20,44
6,11
1,0
4,14
14,1
0,30
26,24
13,3
0,0
26,37
20,44
0,27
19,2
5,7
0,41
15,11
0,35
10,3
0,1
11,28
10,12
10,45
14,37
21,0
17,0
10,0
0,28
21,12
0,28
16,30
10,3
0,16
17,20
0,45
8,36
25,3
0,47
5,32
0,34
22,28
7,28
0,33
13,31
8,4
19,5
10,7
0,3
0,8
10,32
13,0
19,29
21,0
2,40
19,25
8,38
24,15
14,45
0,26
21,0
24,28
5,15
21,14
20,36
24,42
0,25
11,14
15,39
19,21
0,45
0,10
10,0
7,46
16,14
9,15
3,0
4,37
25,9
26,33
23,10
21,0
0,15
2,15
0,14
23,0
19,8
12,43
15,35
17,21
0,11
1,21
11,19
17,19
0,24
5,47
17,1
16,18
21,5
21,42
23,6
0,31
26,0
19,39
20,15
0,29
0,3
26,0
0,32
0,3
6,36
4,8
7,38
26,21
0,3
11,30
0,36
21,8
25,24
15,27
24,35
10,19
17,25
6,0
21,39
0,11
16,8
26,25
13,12
14,19
15,23
14,26
5,10
22,24
23,40
8,30
13,34
13,7
9,32
11,47
7,1
21,22
2,27
0,0
17,17
0,25
23,36
7,1
0,35
4,10
1,1
1,18
12,21
24,0
21,21
15,5
14,25
16,37
18,26
19,28
8,0
25,41
0,27
21,14
26,24
8,0
3,11
0,27
17,23
21,36
11,27
7,0
0,0
17,32
25,0
1,16
26,39
0,29
25,0
0,46
0,14
0,0
25,0
15,0
0,19
1,18
2,14
21,23
0,12
2,11
1,11
10,10
15,10
9,35
13,23
1,44
20,33
7,10
0,24
25,42
3,42
19,24
0,0
0,30
2,6
3,8
13,16
8,19
17,34
15,35
13,5
0,0
3,17
6,2
11,4
0,39
5,3
4,24
26,0
1,2
0,3
17,13
0,26
0,2
0,0
0,5
0,41
0,14
7,23
26,34
10,38
22,2
12,30
0,3
17,39
13,31
25,0
25,19
5,13
0,31
3,9
26,0
7,0
26,41
8,10
21,27
23,39
7,18
14,19
0,1
19,3
21,20
6,13
0,18
0,3
0,19
11,42
5,24
8,7
20,34
8,27
4,30
0,12
21,11
10,47
11,32
4,47
15,28
17,0
0,44
26,38
17,18
4,31
26,13
3,41
1,34
0,15
1,37
11,45
26,47
0,16
11,3
13,26
0,14
17,47
2,13
0,12
11,2
7,38
1,37
4,37
13,8
19,47
0,45
13,37
25,0
15,17
7,11
15,31
0,27
5,9
20,3
21,36
12,11
2,32
10,24
8,4
25,41
11,14
0,16
21,42
4,26
16,21
4,5
21,5
2,42
4,39
25,40
1,34
3,8
15,44
7,11
17,31
26,23
0,14
0,12
14,4
10,10
17,46
1,0
14,45
11,11
4,0
0,0
19,12
5,22
19,13
16,25
25,14
0,7
10,46
10,0
7,43
0,9
12,4
17,0
10,9
10,11
7,12
14,29
7,0
18,41
8,36
19,0
20,11
14,28
11,12
21,47
7,19
9,40
0,9
6,5
1,6
25,35
0,39
0,19
7,40
14,23
21,27
0,26
0,14
26,36
3,36
0,22
0,46
14,16
18,14
0,5
0,18
14,18
0,9
3,11
14,11
11,27
10,15
15,3
10,11
17,6
21,11
6,32
25,43
5,31
10,46
14,31
0,27
5,22
25,12
14,24
5,0
0,2
10,24
4,39
10,39
25,27
14,12
19,15
14,43
10,5
3,20
23,47
26,8
20,11
