,Body,name,score,Hand,name,score,Skin,name,score
0,0,a,92796.8,5,x,104396.4,3,qqi,87922.5
1,3,ss,92796.8,4,lks,92796.8,0,qqw,93784.0
2,2,dd,92796.8,1,ca,104396.4,1,qxq,105507.0
3,3,ss,92796.8,2,ba,86997.0,4,qoq,93784.0
4,4,sss,82357.16,2,ba,86997.0,3,qqi,87922.5
5,4,sss,82357.16,5,x,104396.4,2,qwq,87922.5
6,0,a,92796.8,3,dda,98596.6,2,qwq,87922.5
7,5,lsad,104396.4,2,ba,86997.0,2,qwq,87922.5
8,4,sss,82357.16,4,lks,92796.8,0,qqw,93784.0
9,2,dd,92796.8,2,ba,86997.0,0,qqw,93784.0
10,3,ss,92796.8,4,lks,92796.8,1,qxq,105507.0
11,2,dd,92796.8,0,an,92796.8,3,qqi,87922.5
12,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
13,0,a,92796.8,3,dda,98596.6,0,qqw,93784.0
14,4,sss,82357.16,4,lks,92796.8,2,qwq,87922.5
15,2,dd,92796.8,4,lks,92796.8,2,qwq,87922.5
16,3,ss,92796.8,2,ba,86997.0,0,qqw,93784.0
17,4,sss,82357.16,2,ba,86997.0,4,qoq,93784.0
18,4,sss,82357.16,1,ca,104396.4,4,qoq,93784.0
19,3,ss,92796.8,2,ba,86997.0,2,qwq,87922.5
20,4,sss,82357.16,4,lks,92796.8,1,qxq,105507.0
21,3,ss,92796.8,5,x,104396.4,1,qxq,105507.0
22,0,a,92796.8,0,an,92796.8,4,qoq,93784.0
23,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
24,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
25,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
26,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
27,5,lsad,104396.4,5,x,104396.4,2,qwq,87922.5
28,2,dd,92796.8,0,an,92796.8,2,qwq,87922.5
29,3,ss,92796.8,0,an,92796.8,3,qqi,87922.5
30,0,a,92796.8,4,lks,92796.8,0,qqw,93784.0
31,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
32,4,sss,82357.16,0,an,92796.8,3,qqi,87922.5
33,3,ss,92796.8,4,lks,92796.8,1,qxq,105507.0
34,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
35,4,sss,82357.16,1,ca,104396.4,4,qoq,93784.0
36,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
37,0,a,92796.8,4,lks,92796.8,4,qoq,93784.0
38,2,dd,92796.8,0,an,92796.8,1,qxq,105507.0
39,4,sss,82357.16,3,dda,98596.6,1,qxq,105507.0
40,2,dd,92796.8,0,an,92796.8,2,qwq,87922.5
41,0,a,92796.8,4,lks,92796.8,2,qwq,87922.5
42,0,a,92796.8,2,ba,86997.0,3,qqi,87922.5
43,3,ss,92796.8,5,x,104396.4,4,qoq,93784.0
44,3,ss,92796.8,3,dda,98596.6,0,qqw,93784.0
45,3,ss,92796.8,0,an,92796.8,0,qqw,93784.0
46,2,dd,92796.8,1,ca,104396.4,3,qqi,87922.5
47,2,dd,92796.8,4,lks,92796.8,0,qqw,93784.0
48,2,dd,92796.8,2,ba,86997.0,4,qoq,93784.0
49,4,sss,82357.16,2,ba,86997.0,3,qqi,87922.5
50,5,lsad,104396.4,5,x,104396.4,1,qxq,105507.0
51,4,sss,82357.16,5,x,104396.4,2,qwq,87922.5
52,0,a,92796.8,2,ba,86997.0,4,qoq,93784.0
53,0,a,92796.8,4,lks,92796.8,3,qqi,87922.5
54,0,a,92796.8,4,lks,92796.8,2,qwq,87922.5
55,5,lsad,104396.4,3,dda,98596.6,0,qqw,93784.0
56,2,dd,92796.8,4,lks,92796.8,2,qwq,87922.5
57,4,sss,82357.16,3,dda,98596.6,2,qwq,87922.5
58,5,lsad,104396.4,4,lks,92796.8,4,qoq,93784.0
59,3,ss,92796.8,1,ca,104396.4,4,qoq,93784.0
60,3,ss,92796.8,2,ba,86997.0,4,qoq,93784.0
61,3,ss,92796.8,0,an,92796.8,0,qqw,93784.0
62,5,lsad,104396.4,0,an,92796.8,2,qwq,87922.5
63,3,ss,92796.8,3,dda,98596.6,4,qoq,93784.0
64,0,a,92796.8,2,ba,86997.0,3,qqi,87922.5
65,2,dd,92796.8,0,an,92796.8,0,qqw,93784.0
66,4,sss,82357.16,3,dda,98596.6,0,qqw,93784.0
67,5,lsad,104396.4,2,ba,86997.0,4,qoq,93784.0
68,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
69,1,v,114836.04,4,lks,92796.8,1,qxq,105507.0
70,3,ss,92796.8,3,dda,98596.6,3,qqi,87922.5
71,5,lsad,104396.4,3,dda,98596.6,0,qqw,93784.0
72,3,ss,92796.8,0,an,92796.8,0,qqw,93784.0
73,2,dd,92796.8,4,lks,92796.8,2,qwq,87922.5
74,0,a,92796.8,5,x,104396.4,4,qoq,93784.0
75,2,dd,92796.8,4,lks,92796.8,2,qwq,87922.5
76,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
77,4,sss,82357.16,3,dda,98596.6,3,qqi,87922.5
78,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
79,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
80,5,lsad,104396.4,0,an,92796.8,4,qoq,93784.0
81,4,sss,82357.16,3,dda,98596.6,0,qqw,93784.0
82,2,dd,92796.8,2,ba,86997.0,0,qqw,93784.0
83,0,a,92796.8,2,ba,86997.0,3,qqi,87922.5
84,3,ss,92796.8,5,x,104396.4,3,qqi,87922.5
85,0,a,92796.8,4,lks,92796.8,0,qqw,93784.0
86,4,sss,82357.16,1,ca,104396.4,3,qqi,87922.5
87,4,sss,82357.16,2,ba,86997.0,4,qoq,93784.0
88,4,sss,82357.16,4,lks,92796.8,4,qoq,93784.0
89,5,lsad,104396.4,2,ba,86997.0,2,qwq,87922.5
90,5,lsad,104396.4,3,dda,98596.6,2,qwq,87922.5
91,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
92,5,lsad,104396.4,2,ba,86997.0,0,qqw,93784.0
93,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
94,3,ss,92796.8,2,ba,86997.0,0,qqw,93784.0
95,5,lsad,104396.4,2,ba,86997.0,2,qwq,87922.5
96,0,a,92796.8,2,ba,86997.0,4,qoq,93784.0
97,0,a,92796.8,2,ba,86997.0,4,qoq,93784.0
98,3,ss,92796.8,0,an,92796.8,2,qwq,87922.5
99,2,dd,92796.8,3,dda,98596.6,3,qqi,87922.5
100,2,dd,92796.8,5,x,104396.4,0,qqw,93784.0
101,5,lsad,104396.4,0,an,92796.8,1,qxq,105507.0
102,0,a,92796.8,0,an,92796.8,4,qoq,93784.0
103,2,dd,92796.8,0,an,92796.8,4,qoq,93784.0
104,1,v,114836.04,4,lks,92796.8,2,qwq,87922.5
105,2,dd,92796.8,2,ba,86997.0,0,qqw,93784.0
106,3,ss,92796.8,4,lks,92796.8,4,qoq,93784.0
107,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
108,0,a,92796.8,0,an,92796.8,2,qwq,87922.5
109,3,ss,92796.8,2,ba,86997.0,0,qqw,93784.0
110,4,sss,82357.16,1,ca,104396.4,4,qoq,93784.0
111,5,lsad,104396.4,2,ba,86997.0,4,qoq,93784.0
112,3,ss,92796.8,3,dda,98596.6,3,qqi,87922.5
113,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
114,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
115,4,sss,82357.16,2,ba,86997.0,3,qqi,87922.5
116,0,a,92796.8,4,lks,92796.8,0,qqw,93784.0
117,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
118,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
119,3,ss,92796.8,5,x,104396.4,2,qwq,87922.5
120,5,lsad,104396.4,0,an,92796.8,0,qqw,93784.0
121,5,lsad,104396.4,4,lks,92796.8,4,qoq,93784.0
122,2,dd,92796.8,4,lks,92796.8,3,qqi,87922.5
123,5,lsad,104396.4,4,lks,92796.8,2,qwq,87922.5
124,2,dd,92796.8,4,lks,92796.8,2,qwq,87922.5
125,0,a,92796.8,0,an,92796.8,4,qoq,93784.0
126,3,ss,92796.8,1,ca,104396.4,0,qqw,93784.0
127,0,a,92796.8,1,ca,104396.4,2,qwq,87922.5
128,2,dd,92796.8,1,ca,104396.4,4,qoq,93784.0
129,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
130,2,dd,92796.8,2,ba,86997.0,2,qwq,87922.5
131,4,sss,82357.16,3,dda,98596.6,3,qqi,87922.5
132,4,sss,82357.16,5,x,104396.4,1,qxq,105507.0
133,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
134,3,ss,92796.8,0,an,92796.8,4,qoq,93784.0
135,0,a,92796.8,0,an,92796.8,4,qoq,93784.0
136,4,sss,82357.16,0,an,92796.8,1,qxq,105507.0
137,4,sss,82357.16,2,ba,86997.0,3,qqi,87922.5
138,5,lsad,104396.4,2,ba,86997.0,3,qqi,87922.5
139,3,ss,92796.8,2,ba,86997.0,3,qqi,87922.5
140,4,sss,82357.16,1,ca,104396.4,4,qoq,93784.0
141,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
142,3,ss,92796.8,1,ca,104396.4,1,qxq,105507.0
143,4,sss,82357.16,0,an,92796.8,3,qqi,87922.5
144,0,a,92796.8,4,lks,92796.8,0,qqw,93784.0
145,2,dd,92796.8,2,ba,86997.0,4,qoq,93784.0
146,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
147,3,ss,92796.8,0,an,92796.8,2,qwq,87922.5
148,5,lsad,104396.4,0,an,92796.8,0,qqw,93784.0
149,4,sss,82357.16,4,lks,92796.8,2,qwq,87922.5
150,3,ss,92796.8,0,an,92796.8,3,qqi,87922.5
151,3,ss,92796.8,5,x,104396.4,4,qoq,93784.0
152,0,a,92796.8,5,x,104396.4,2,qwq,87922.5
153,3,ss,92796.8,1,ca,104396.4,3,qqi,87922.5
154,4,sss,82357.16,3,dda,98596.6,0,qqw,93784.0
155,3,ss,92796.8,3,dda,98596.6,0,qqw,93784.0
156,4,sss,82357.16,4,lks,92796.8,1,qxq,105507.0
157,0,a,92796.8,3,dda,98596.6,1,qxq,105507.0
158,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
159,5,lsad,104396.4,0,an,92796.8,4,qoq,93784.0
160,2,dd,92796.8,4,lks,92796.8,3,qqi,87922.5
161,4,sss,82357.16,5,x,104396.4,3,qqi,87922.5
162,5,lsad,104396.4,0,an,92796.8,3,qqi,87922.5
163,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
164,4,sss,82357.16,4,lks,92796.8,4,qoq,93784.0
165,5,lsad,104396.4,3,dda,98596.6,1,qxq,105507.0
166,4,sss,82357.16,0,an,92796.8,4,qoq,93784.0
167,3,ss,92796.8,2,ba,86997.0,3,qqi,87922.5
168,2,dd,92796.8,5,x,104396.4,2,qwq,87922.5
169,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
170,3,ss,92796.8,4,lks,92796.8,0,qqw,93784.0
171,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
172,0,a,92796.8,4,lks,92796.8,4,qoq,93784.0
173,5,lsad,104396.4,4,lks,92796.8,0,qqw,93784.0
174,4,sss,82357.16,4,lks,92796.8,3,qqi,87922.5
175,0,a,92796.8,4,lks,92796.8,3,qqi,87922.5
176,3,ss,92796.8,0,an,92796.8,0,qqw,93784.0
177,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
178,2,dd,92796.8,1,ca,104396.4,2,qwq,87922.5
179,2,dd,92796.8,1,ca,104396.4,3,qqi,87922.5
180,0,a,92796.8,0,an,92796.8,1,qxq,105507.0
181,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
182,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
183,2,dd,92796.8,0,an,92796.8,2,qwq,87922.5
184,3,ss,92796.8,1,ca,104396.4,3,qqi,87922.5
185,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
186,0,a,92796.8,2,ba,86997.0,2,qwq,87922.5
187,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
188,2,dd,92796.8,0,an,92796.8,4,qoq,93784.0
189,5,lsad,104396.4,0,an,92796.8,3,qqi,87922.5
190,5,lsad,104396.4,3,dda,98596.6,3,qqi,87922.5
191,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
192,5,lsad,104396.4,4,lks,92796.8,2,qwq,87922.5
193,1,v,114836.04,2,ba,86997.0,1,qxq,105507.0
194,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
195,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
196,2,dd,92796.8,2,ba,86997.0,4,qoq,93784.0
197,2,dd,92796.8,4,lks,92796.8,4,qoq,93784.0
198,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
199,3,ss,92796.8,5,x,104396.4,4,qoq,93784.0
200,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
