Skin,Skin_color,name,score,Hair,Hair_color,name,score,Facegear_front,Facegear_front_color,name,score,Headgear,Headgear_color,name,score,Ears,Ears_color,name,score,Facegear_back,Facegear_back_color,name,score,Eyebrow,Eyebrow_color,name,score,Mouth,Mouth_color,name,score,Face,Face_color,name,score,Bodygear,Bodygear_color,name,score,Background,Background_color,name,score
0,,ffdfcf,0.0,25,5,,157409.04,0,1,,23939.6,2,7,,124288.48,7,15,,156347.8,4,4,,103285.8,7,,,107851.6,4,,,96128.6,3, , ,84405.6,0,1,,29616.0,9,,bbb6b3,92303.2
0,,ffdfcf,0.0,20,19,,163455.64,0,1,,23939.6,0,1,,33688.2,10,1,,138899.04,5,4,,180509.52,2,,,90822.4,11,,,96128.6,14, , ,91908.32,0,1,,29616.0,9,,bbb6b3,92303.2
0,,ffdfcf,0.0,21,14,,150893.52,2,2,,107728.2,2,14,,126756.48,2,4,,119352.48,6,1,,111319.14,2,,,90822.4,6,,,93092.96,1, , ,86281.28,1,3,,106617.6,8,,ccb0a3,97732.8
0,,ffdfcf,0.0,30,17,,163455.64,2,1,,107728.2,0,1,,33688.2,1,3,,150177.8,0,,,45904.8,4,,,102175.2,5,,,90057.32,9, , ,91908.32,3,4,,106617.6,4,,ed96b9,103162.4
0,,ffdfcf,0.0,16,15,,158272.84,0,1,,23939.6,7,2,,149869.3,0,,,63674.4,1,1,,103285.8,3,,,96498.8,2,,,91069.2,6, , ,86281.28,0,1,,29616.0,7,,a3accb,97732.8
0,,ffdfcf,0.0,17,13,,152226.24,0,1,,23939.6,0,1,,33688.2,10,2,,138899.04,6,1,,111319.14,2,,,90822.4,4,,,96128.6,16, , ,91908.32,0,1,,29616.0,4,,ed96b9,103162.4
0,,ffdfcf,0.0,4,5,,154817.64,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,1,,,73793.2,13,,,88033.56,14, , ,91908.32,0,1,,29616.0,12,,616370,92303.2
0,,ffdfcf,0.0,8,10,,159136.64,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,1,1,,103285.8,3,,,96498.8,15,,,96128.6,0, , ,81592.08,1,4,,106617.6,2,,a4c5cc,100990.56
0,,ffdfcf,0.0,10,12,,163455.64,0,1,,23939.6,0,1,,33688.2,2,6,,119352.48,6,1,,111319.14,2,,,90822.4,14,,,96128.6,4, , ,86281.28,0,1,,29616.0,7,,a3accb,97732.8
0,,ffdfcf,0.0,26,3,,163455.64,0,1,,23939.6,0,1,,33688.2,13,9,,195021.36,0,,,45904.8,1,,,73793.2,6,,,93092.96,2, , ,86281.28,1,1,,106617.6,12,,616370,92303.2
0,,ffdfcf,0.0,3,13,,152226.24,0,1,,23939.6,0,1,,33688.2,6,6,,178954.68,0,,,45904.8,3,,,96498.8,8,,,96128.6,1, , ,86281.28,3,4,,106617.6,3,,92d1f2,99904.64
0,,ffdfcf,0.0,17,15,,158272.84,2,7,,107728.2,0,1,,33688.2,0,,,63674.4,3,1,,110517.04,4,,,102175.2,8,,,96128.6,15, , ,91908.32,0,1,,29616.0,10,,c4c2ac,97732.8
0,,ffdfcf,0.0,6,5,,154817.64,0,1,,23939.6,4,9,,162209.3,10,2,,138899.04,0,,,45904.8,1,,,73793.2,13,,,88033.56,1, , ,86281.28,0,1,,29616.0,5,,ffc3dc,105334.24
0,,ffdfcf,0.0,19,10,,159136.64,2,4,,107728.2,0,1,,33688.2,0,,,63674.4,0,,,45904.8,1,,,73793.2,6,,,93092.96,0, , ,81592.08,1,1,,106617.6,2,,a4c5cc,100990.56
0,,ffdfcf,0.0,16,5,,154817.64,0,1,,23939.6,4,8,,159124.3,0,,,63674.4,0,,,45904.8,1,,,73793.2,13,,,88033.56,4, , ,86281.28,3,1,,106617.6,9,,bbb6b3,92303.2
0,,ffdfcf,0.0,24,15,,161728.04,0,1,,23939.6,5,2,,152226.24,2,3,,118612.08,0,,,45904.8,7,,,107851.6,15,,,96128.6,2, , ,86281.28,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,31,14,,163455.64,0,1,,23939.6,5,4,,174438.24,0,,,63674.4,4,2,,103285.8,1,,,73793.2,2,,,91069.2,14, , ,91908.32,3,4,,106617.6,11,,726b61,97732.8
0,,ffdfcf,0.0,27,10,,159136.64,0,1,,23939.6,2,8,,126756.48,9,7,,130162.32,0,,,45904.8,4,,,102175.2,5,,,90057.32,2, , ,86281.28,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,2,11,,163455.64,0,1,,23939.6,0,1,,33688.2,2,2,,119846.08,2,1,,109023.9,1,,,73793.2,14,,,96128.6,4, , ,86281.28,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,21,20,,150893.52,0,1,,23939.6,0,1,,33688.2,11,9,,156964.8,0,,,45904.8,1,,,73793.2,12,,,96128.6,16, , ,91908.32,0,1,,29616.0,7,,a3accb,97732.8
0,,ffdfcf,0.0,13,16,,163455.64,2,7,,107728.2,0,1,,33688.2,0,,,63674.4,3,1,,110517.04,2,,,90822.4,2,,,91069.2,0, , ,81592.08,0,1,,29616.0,1,,accba2,103162.4
0,,ffdfcf,0.0,29,15,,161728.04,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,4,4,,103285.8,4,,,102175.2,5,,,90057.32,23, , ,90970.48,0,1,,29616.0,11,,726b61,97732.8
0,,ffdfcf,0.0,10,13,,152226.24,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,4,,,102175.2,15,,,94104.84,16, , ,91908.32,0,1,,29616.0,9,,bbb6b3,92303.2
0,,ffdfcf,0.0,24,20,,163455.64,0,1,,23939.6,0,1,,33688.2,0,,,63674.4,0,,,45904.8,1,,,73793.2,15,,,96128.6,6, , ,86281.28,0,1,,29616.0,7,,a3accb,97732.8
0,,ffdfcf,0.0,24,10,,159136.64,0,1,,23939.6,0,1,,33688.2,8,3,,156347.8,0,,,45904.8,3,,,96498.8,15,,,94104.84,1, , ,86281.28,0,1,,29616.0,12,,616370,92303.2
0,,ffdfcf,0.0,26,10,,159136.64,2,6,,107728.2,0,1,,33688.2,4,9,,153262.8,0,,,45904.8,3,,,96498.8,6,,,93092.96,4, , ,86281.28,3,2,,106617.6,11,,726b61,97732.8
