Body,Body_color
19,5
9,6
7,2
1,1
28,3
33,2
3,9
28,3
1,34
14,2
25,7
3,8
18,11
19,3
7,7
19,2
5,2
5,5
34,10
34,7
31,2
33,3
25,1
25,8
6,5
5,6
5,5
30,6
1,1
5,5
15,7
20,4
20,5
1,28
32,8
25,12
29,3
1,29
13,9
24,5
15,8
2,11
1,60
29,10
25,10
9,6
28,4
6,5
34,2
23,7
3,3
22,5
11,2
3,7
25,5
1,9
3,6
25,7
25,1
2,8
1,8
25,1
7,2
3,10
6,5
34,7
3,2
34,8
1,4
25,2
33,9
21,3
1,23
9,5
11,10
33,5
10,8
31,6
32,1
2,2
3,1
23,2
29,6
19,3
6,2
19,9
14,2
1,36
24,7
31,4
32,10
13,1
28,3
3,9
2,6
6,3
25,1
1,42
24,4
25,11
25,6
3,7
11,1
1,18
1,42
1,48
25,3
5,6
33,7
19,1
19,13
1,21
3,9
1,10
1,43
1,34
18,5
5,3
1,12
33,8
19,5
19,5
1,10
31,2
29,5
3,9
1,1
7,1
5,2
23,4
1,31
31,4
3,12
34,9
24,3
25,2
13,8
3,3
1,41
32,9
3,18
33,1
33,2
20,7
24,4
24,3
1,19
1,53
34,5
33,9
20,2
27,1
2,9
2,9
1,30
20,7
12,2
1,29
1,16
6,2
21,7
2,1
3,2
15,8
32,4
2,4
21,7
5,2
18,7
33,9
25,11
11,4
5,3
2,4
25,10
20,5
14,1
6,6
32,2
5,3
27,1
23,6
34,3
10,6
19,7
31,10
5,5
30,9
3,8
1,28
1,10
25,7
19,8
29,6
32,10
1,3
26,1
12,6
32,1
1,38
32,2
2,3
19,4
2,14
22,1
2,11
3,19
9,9
2,7
5,2
31,9
5,6
25,1
25,2
33,3
1,2
11,3
34,10
4,12
18,5
4,3
15,7
10,8
32,1
1,40
15,4
33,8
29,7
5,5
1,31
18,2
13,8
33,3
29,1
3,9
1,15
18,4
34,2
21,6
29,2
10,1
1,8
32,6
34,10
1,29
33,7
2,1
30,3
28,3
6,3
20,3
3,19
24,3
4,9
34,4
3,20
5,2
32,9
29,3
29,7
3,9
1,29
1,24
34,5
12,4
31,8
6,6
13,6
27,2
29,1
34,3
31,9
34,5
3,10
15,5
31,10
20,7
11,8
1,31
34,6
31,2
1,55
13,5
21,4
13,2
27,1
21,1
1,6
29,7
5,3
21,3
32,8
3,3
2,6
32,10
21,3
15,6
21,2
1,29
13,8
1,37
31,9
23,5
24,6
9,7
1,10
4,6
33,5
25,1
28,1
1,2
1,2
14,5
28,1
19,3
4,1
18,10
1,8
22,5
3,3
4,1
10,7
22,1
19,5
1,9
1,48
4,8
3,5
1,3
25,8
20,2
34,1
20,5
31,3
1,16
15,4
5,6
18,5
32,7
15,2
13,7
34,6
32,4
14,3
9,9
30,8
5,3
19,5
23,3
13,2
11,6
1,56
1,34
14,1
34,6
13,6
13,9
27,1
3,1
1,21
2,14
1,12
3,7
3,9
1,10
18,8
3,16
33,3
29,3
1,37
14,4
20,3
4,10
21,7
19,10
5,1
3,6
1,44
5,2
3,6
19,9
6,5
1,1
15,6
10,6
3,16
24,6
24,4
1,25
32,10
4,3
1,59
25,9
25,11
3,8
29,1
19,3
10,3
1,15
34,2
29,7
32,6
7,7
25,12
1,26
14,2
31,2
1,24
1,58
2,2
34,5
1,6
21,6
19,3
7,3
21,2
11,1
15,7
3,17
1,27
29,6
5,1
3,3
31,3
34,8
11,4
15,7
15,2
11,2
4,4
25,1
10,14
7,9
34,3
29,1
5,5
25,11
19,7
29,8
15,2
18,6
1,50
24,7
27,2
27,2
1,20
13,4
19,2
1,36
22,6
4,5
30,10
14,1
5,2
20,7
34,10
1,51
3,11
32,5
13,7
32,9
21,4
1,46
27,2
24,4
21,2
33,2
1,24
23,3
18,1
24,6
18,11
14,4
7,7
1,5
3,4
20,7
11,8
34,4
24,6
2,9
31,2
18,11
3,1
31,4
1,51
3,7
32,8
4,4
1,25
1,48
30,6
6,1
29,3
6,1
21,4
25,10
15,5
1,60
14,5
1,34
24,2
5,6
34,7
20,2
19,5
1,2
18,8
25,1
3,8
13,1
19,10
24,2
11,11
34,8
15,5
5,5
18,8
13,7
1,3
30,10
34,10
33,6
34,7
31,11
1,4
22,2
29,9
31,2
4,8
4,3
24,5
3,9
5,4
18,2
19,3
1,7
19,3
32,7
33,3
31,10
30,3
5,1
10,3
19,5
1,58
7,9
2,6
25,10
1,11
27,2
27,4
6,7
9,5
14,1
5,2
1,57
33,9
25,2
4,6
1,3
11,10
